,time stamp,open,high,low,close,volume
0,2023-01-03 04:00,240.99,242.01,240.99,242.01,390
1,2023-01-03 04:01,240.99,242.01,240.99,242.01,390
2,2023-01-03 04:02,240.99,242.01,240.99,242.01,390
3,2023-01-03 04:03,242.78,242.78,242.78,242.78,276
4,2023-01-03 04:04,242.8,242.8,242.8,242.8,869
5,2023-01-03 04:05,242.8,242.8,242.8,242.8,869
6,2023-01-03 04:06,242.74,242.74,242.74,242.74,133
7,2023-01-03 04:07,242.6,242.6,242.51,242.51,396
8,2023-01-03 04:08,242.5,242.5,242.5,242.5,289
9,2023-01-03 04:09,242.49,242.5,242.49,242.5,1034
10,2023-01-03 04:10,242.5,242.8,242.5,242.8,1685
11,2023-01-03 04:11,242.53,242.53,242.0,242.0,6396
12,2023-01-03 04:12,242.78,242.78,242.77,242.77,404
13,2023-01-03 04:13,242.77,242.88,242.77,242.88,1379
14,2023-01-03 04:14,242.77,242.88,242.77,242.88,1379
15,2023-01-03 04:15,242.77,242.88,242.77,242.88,1379
16,2023-01-03 04:16,242.72,242.9,242.72,242.9,1281
17,2023-01-03 04:17,243.29,243.29,243.29,243.29,505
18,2023-01-03 04:18,243.29,243.29,243.29,243.29,505
19,2023-01-03 04:19,243.29,243.29,243.29,243.29,505
20,2023-01-03 04:20,242.89,242.89,242.89,242.89,125
21,2023-01-03 04:21,242.89,242.89,242.89,242.89,125
22,2023-01-03 04:22,242.89,242.89,242.89,242.89,111
23,2023-01-03 04:23,242.89,242.89,242.89,242.89,468
24,2023-01-03 04:24,243.08,243.2,243.08,243.2,481
25,2023-01-03 04:25,243.08,243.2,243.08,243.2,481
26,2023-01-03 04:26,243.08,243.2,243.08,243.2,481
27,2023-01-03 04:27,243.08,243.2,243.08,243.2,481
28,2023-01-03 04:28,243.08,243.2,243.08,243.2,481
29,2023-01-03 04:29,243.08,243.08,243.08,243.08,622
30,2023-01-03 04:30,243.08,243.08,243.08,243.08,622
31,2023-01-03 04:31,243.08,243.08,243.08,243.08,622
32,2023-01-03 04:32,243.08,243.08,243.08,243.08,622
33,2023-01-03 04:33,243.03,243.03,243.02,243.02,1066
34,2023-01-03 04:34,243.03,243.03,243.02,243.02,1066
35,2023-01-03 04:35,243.03,243.03,243.02,243.02,1066
36,2023-01-03 04:36,243.03,243.03,243.02,243.02,1066
37,2023-01-03 04:37,243.03,243.03,243.02,243.02,1066
38,2023-01-03 04:38,243.03,243.03,243.02,243.02,1066
39,2023-01-03 04:39,243.03,243.03,243.02,243.02,1066
40,2023-01-03 04:40,243.03,243.03,243.02,243.02,1066
41,2023-01-03 04:41,243.03,243.03,243.02,243.02,1066
42,2023-01-03 04:42,243.03,243.03,243.02,243.02,1066
43,2023-01-03 04:43,243.03,243.03,243.02,243.02,1066
44,2023-01-03 04:44,243.22,243.22,243.22,243.22,211
45,2023-01-03 04:45,243.63,243.63,243.63,243.63,1007
46,2023-01-03 04:46,243.63,243.63,243.63,243.63,1007
47,2023-01-03 04:47,243.63,243.63,243.63,243.63,1007
48,2023-01-03 04:48,243.63,243.63,243.63,243.63,1007
49,2023-01-03 04:49,243.63,243.63,243.63,243.63,1007
50,2023-01-03 04:50,243.61,243.61,243.61,243.61,137
51,2023-01-03 04:51,243.61,243.61,243.61,243.61,137
52,2023-01-03 04:52,243.61,243.61,243.61,243.61,137
53,2023-01-03 04:53,243.49,243.49,243.49,243.49,320
54,2023-01-03 04:54,243.49,243.49,243.49,243.49,320
55,2023-01-03 04:55,243.49,243.49,243.49,243.49,320
56,2023-01-03 04:56,243.49,243.49,243.49,243.49,320
57,2023-01-03 04:57,243.49,243.49,243.49,243.49,320
58,2023-01-03 04:58,243.49,243.49,243.49,243.49,320
59,2023-01-03 04:59,243.59,243.59,243.54,243.54,400
60,2023-01-03 05:00,243.55,243.55,243.55,243.55,554
61,2023-01-03 05:01,243.55,243.55,243.55,243.55,554
62,2023-01-03 05:02,243.55,243.55,243.55,243.55,554
63,2023-01-03 05:03,243.55,243.55,243.55,243.55,554
64,2023-01-03 05:04,243.55,243.55,243.55,243.55,554
65,2023-01-03 05:05,243.55,243.55,243.55,243.55,554
66,2023-01-03 05:06,243.55,243.55,243.55,243.55,554
67,2023-01-03 05:07,243.55,243.55,243.55,243.55,554
68,2023-01-03 05:08,243.33,243.33,243.33,243.33,363
69,2023-01-03 05:09,243.33,243.33,243.33,243.33,363
70,2023-01-03 05:10,243.33,243.33,243.33,243.33,363
71,2023-01-03 05:11,243.33,243.33,243.33,243.33,363
72,2023-01-03 05:12,243.33,243.33,243.33,243.33,363
73,2023-01-03 05:13,243.33,243.33,243.33,243.33,363
74,2023-01-03 05:14,243.33,243.33,243.33,243.33,363
75,2023-01-03 05:15,243.33,243.33,243.33,243.33,363
76,2023-01-03 05:16,243.33,243.33,243.33,243.33,363
77,2023-01-03 05:17,242.93,242.93,242.93,242.93,316
78,2023-01-03 05:18,242.93,242.93,242.93,242.93,316
79,2023-01-03 05:19,242.93,242.93,242.93,242.93,316
80,2023-01-03 05:20,242.93,242.93,242.93,242.93,316
81,2023-01-03 05:21,242.93,242.93,242.93,242.93,316
82,2023-01-03 05:22,242.93,242.93,242.93,242.93,316
83,2023-01-03 05:23,242.93,242.93,242.93,242.93,316
84,2023-01-03 05:24,242.93,242.93,242.93,242.93,316
85,2023-01-03 05:25,242.93,242.93,242.93,242.93,316
86,2023-01-03 05:26,242.65,242.65,242.65,242.65,320
87,2023-01-03 05:27,242.65,242.65,242.65,242.65,320
88,2023-01-03 05:28,242.65,242.65,242.65,242.65,320
89,2023-01-03 05:29,242.65,242.65,242.65,242.65,320
90,2023-01-03 05:30,242.65,242.65,242.65,242.65,320
91,2023-01-03 05:31,242.65,242.65,242.65,242.65,320
92,2023-01-03 05:32,242.65,242.65,242.65,242.65,320
93,2023-01-03 05:33,242.65,242.65,242.65,242.65,320
94,2023-01-03 05:34,242.65,242.65,242.65,242.65,320
95,2023-01-03 05:35,242.65,242.65,242.65,242.65,320
96,2023-01-03 05:36,242.64,242.64,242.64,242.64,354
97,2023-01-03 05:37,242.64,242.64,242.64,242.64,354
98,2023-01-03 05:38,242.64,242.64,242.64,242.64,354
99,2023-01-03 05:39,242.77,242.77,242.77,242.77,445
100,2023-01-03 05:40,242.77,242.77,242.77,242.77,445
101,2023-01-03 05:41,242.77,242.77,242.77,242.77,445
102,2023-01-03 05:42,242.77,242.77,242.77,242.77,445
103,2023-01-03 05:43,242.77,242.77,242.77,242.77,445
104,2023-01-03 05:44,242.82,242.82,242.82,242.82,295
105,2023-01-03 05:45,242.82,242.82,242.82,242.82,295
106,2023-01-03 05:46,242.82,242.82,242.82,242.82,295
107,2023-01-03 05:47,242.95,242.95,242.95,242.95,107
108,2023-01-03 05:48,242.95,242.95,242.95,242.95,107
109,2023-01-03 05:49,242.95,242.95,242.95,242.95,107
110,2023-01-03 05:50,242.95,242.95,242.95,242.95,107
111,2023-01-03 05:51,242.95,242.95,242.95,242.95,107
112,2023-01-03 05:52,242.95,242.95,242.95,242.95,107
113,2023-01-03 05:53,242.95,242.95,242.95,242.95,107
114,2023-01-03 05:54,242.95,242.95,242.95,242.95,107
115,2023-01-03 05:55,242.95,242.95,242.95,242.95,107
116,2023-01-03 05:56,242.95,242.95,242.95,242.95,107
117,2023-01-03 05:57,242.95,242.95,242.95,242.95,107
118,2023-01-03 05:58,242.95,242.95,242.95,242.95,107
119,2023-01-03 05:59,242.95,242.95,242.95,242.95,107
120,2023-01-03 06:00,242.95,242.95,242.95,242.95,107
121,2023-01-03 06:01,242.95,242.95,242.95,242.95,107
122,2023-01-03 06:02,242.95,242.95,242.95,242.95,107
123,2023-01-03 06:03,242.95,242.95,242.95,242.95,107
124,2023-01-03 06:04,242.95,242.95,242.95,242.95,107
125,2023-01-03 06:05,242.95,242.95,242.95,242.95,107
126,2023-01-03 06:06,242.95,242.95,242.95,242.95,107
127,2023-01-03 06:07,242.95,242.95,242.95,242.95,107
128,2023-01-03 06:08,242.87,242.87,242.8,242.8,526
129,2023-01-03 06:09,242.87,242.87,242.8,242.8,526
130,2023-01-03 06:10,242.87,242.87,242.8,242.8,526
131,2023-01-03 06:11,242.87,242.87,242.8,242.8,526
132,2023-01-03 06:12,242.87,242.87,242.8,242.8,526
133,2023-01-03 06:13,242.87,242.87,242.8,242.8,526
134,2023-01-03 06:14,242.87,242.87,242.8,242.8,526
135,2023-01-03 06:15,242.87,242.87,242.8,242.8,526
136,2023-01-03 06:16,242.87,242.87,242.8,242.8,526
137,2023-01-03 06:17,242.49,242.73,242.49,242.73,705
138,2023-01-03 06:18,242.49,242.73,242.49,242.73,705
139,2023-01-03 06:19,242.49,242.73,242.49,242.73,705
140,2023-01-03 06:20,242.49,242.73,242.49,242.73,705
141,2023-01-03 06:21,242.49,242.73,242.49,242.73,705
142,2023-01-03 06:22,242.49,242.73,242.49,242.73,705
143,2023-01-03 06:23,242.49,242.73,242.49,242.73,705
144,2023-01-03 06:24,242.66,242.66,242.66,242.66,178
145,2023-01-03 06:25,242.66,242.66,242.66,242.66,178
146,2023-01-03 06:26,242.66,242.66,242.66,242.66,178
147,2023-01-03 06:27,242.66,242.66,242.66,242.66,178
148,2023-01-03 06:28,242.66,242.66,242.66,242.66,178
149,2023-01-03 06:29,242.5,242.5,242.5,242.5,128
150,2023-01-03 06:30,242.5,242.5,242.5,242.5,128
151,2023-01-03 06:31,242.53,242.53,242.53,242.53,145
152,2023-01-03 06:32,242.53,242.53,242.53,242.53,145
153,2023-01-03 06:33,242.53,242.53,242.53,242.53,145
154,2023-01-03 06:34,242.53,242.53,242.53,242.53,145
155,2023-01-03 06:35,242.53,242.53,242.53,242.53,145
156,2023-01-03 06:36,242.53,242.53,242.53,242.53,145
157,2023-01-03 06:37,242.53,242.53,242.53,242.53,145
158,2023-01-03 06:38,242.53,242.53,242.53,242.53,145
159,2023-01-03 06:39,242.53,242.53,242.53,242.53,145
160,2023-01-03 06:40,242.24,242.24,242.24,242.24,145
161,2023-01-03 06:41,242.24,242.24,242.24,242.24,145
162,2023-01-03 06:42,242.24,242.24,242.24,242.24,145
163,2023-01-03 06:43,241.7,241.7,241.32,241.32,1466
164,2023-01-03 06:44,241.09,241.15,240.44,240.44,1516
165,2023-01-03 06:45,240.32,240.32,239.97,239.97,989
166,2023-01-03 06:46,240.32,240.32,239.97,239.97,989
167,2023-01-03 06:47,240.49,240.49,240.41,240.41,630
168,2023-01-03 06:48,240.4,240.4,240.4,240.4,293
169,2023-01-03 06:49,240.4,240.4,240.4,240.4,293
170,2023-01-03 06:50,240.62,240.62,240.62,240.62,100
171,2023-01-03 06:51,240.74,240.74,240.74,240.74,135
172,2023-01-03 06:52,240.74,240.74,240.74,240.74,135
173,2023-01-03 06:53,240.65,240.71,240.6,240.6,813
174,2023-01-03 06:54,240.65,240.71,240.6,240.6,813
175,2023-01-03 06:55,240.92,240.92,240.92,240.92,103
176,2023-01-03 06:56,240.92,240.92,240.92,240.92,103
177,2023-01-03 06:57,240.92,240.92,240.92,240.92,103
178,2023-01-03 06:58,240.92,240.92,240.92,240.92,103
179,2023-01-03 06:59,240.92,240.92,240.92,240.92,103
180,2023-01-03 07:00,240.92,240.92,240.92,240.92,103
181,2023-01-03 07:01,240.92,240.92,240.92,240.92,103
182,2023-01-03 07:02,240.92,240.92,240.92,240.92,103
